IMU1AccelX,IMU1AccelY,IMU1AccelZ,IMU2AccelX,IMU2AccelY,IMU2AccelZ
4,4,4,-5,-5,999
4,4,4,-5,-4,999
4,4,4,37,-34,1023
4,4,4,165,-43,1157
4,4,4,-688,293,177
4,4,4,844,202,79
4,4,4,1075,250,32
4,4,4,-905,157,-222
4,4,4,-583,511,272
4,4,4,-83,884,103
4,4,4,-87,1139,-360
4,4,4,-454,139,646
4,4,4,-65,-922,56
4,4,4,-178,37,968
4,4,4,-14,1165,-331
4,4,4,-293,970,48
4,4,4,21,318,1111
4,4,4,193,-215,-1101
4,4,4,-28,233,1176
4,4,4,983,372,-117
4,4,4,-137,62,1063
4,4,4,-24,40,994
4,4,4,-6,-7,998
4,4,4,-5,-5,997
4,4,4,-7,-6,997
4,4,4,-6,-5,998
4,4,4,-5,-7,997
4,4,4,-6,-6,998
4,4,4,-6,-5,994
4,4,4,-6,-6,998
4,4,4,-6,-6,994
